ph,yield
7.3,5.9011
6.6,5.3093
7,6.3922
7.4,6.9921
7.7,6.3235
7.6,7.1851
7.8,6.4124
7.7,6.8766
7.8,7.2273
7.8,6.924
7.7,6.7512
7.4,7.448
7.9,7.2404
7.8,7.4184
7.4,7.3787
7.6,7.285
7.8,7.4659
7.6,7.3983
7.4,7.4073
7.7,6.309
7.5,6.9259
7.4,6.788
7.4,7.2222
7.6,7.5265
7.4,6.5305
7.7,8.0707
7.4,6.8509
7.4,6.9435
7.8,7.6885
7.5,7.6527
7.6,6.7288
7.6,6.9016
7.5,7.7032
7.7,7.0286
7.5,7.4645
7.5,6.7856
7.3,7.826
7.7,7.0247
7.6,6.8589
7.6,6.9532
7.6,6.6811
7.4,7.1584
7.5,6.9792
7.7,6.9716
7.6,6.8097
7.5,6.4241
7.5,7.0093
7.3,7.4017
7.5,6.9204
7.7,6.4363
7.8,6.6638
7.1,8.2723
7.9,4.0532
7.3,3.7026
7.7,7.4841
7.5,6.3539
7.8,6.6257
7.9,5.0708
7.1,7.896
7.6,8.6319
7.7,7.7549
7.6,6.6946
7.3,4.3266
7,8.0733
7.6,6.7521
7.2,8.4393
7.4,8.5262
7.3,7.649
7.7,7.3152
7,8.0362
7.6,7.8251
7.9,4.4546
7.8,6.1095
7.6,8.0708
7.6,8.3913
7.6,8.3913
7.7,7.1161
7.6,7.9332
7.7,7.9332
7.5,8.2649
7.8,6.6827
7.8,6.2669
7.8,4.3419
7.7,5.3613
7.7,5.3437
7.8,6.4781
7.8,6.1714
7.7,5.2926
7.8,5.6938
7.8,5.4047
7.8,5.7515
7.4,7.6492
7.7,5.276
7,4.2256
7.8,5.4487
7.7,5.497
7.8,7.9737
7.6,7.5804
7.7,6.8316
6.8,4.4379
6.8,3.9634
7,5.8609
7.2,5.624
7.7,5.3374
6.9,5.7915
7.3,7.1631
7.9,6.0288
7.8,4.9799
7.9,3.9795
7.3,7.0043
